timestamp_ms,frame_time_ms,fps
8922.011,0.415,2411.213
8922.433,0.619,1615.637
8923.083,0.665,1503.619
8923.763,0.532,1879.332
8924.308,0.608,1644.069
8924.929,0.766,1305.192
8925.709,0.584,1711.198
8926.312,0.539,1854.558
8926.859,0.597,1675.943
8927.463,0.590,1694.484
8928.061,0.525,1906.425
8928.591,0.541,1848.261
8929.139,0.708,1412.114
8929.872,0.662,1511.348
8930.543,0.822,1216.893
8931.389,0.962,1039.780
8932.379,3.910,255.729
8936.333,0.627,1593.813
8936.969,0.527,1897.508
8937.507,0.620,1612.940
8938.143,0.435,2299.205
8938.584,0.397,2520.047
8938.986,0.439,2279.093
8939.430,0.397,2518.257
8939.902,0.437,2290.447
8940.355,0.536,1864.075
8940.898,0.476,2102.590
8941.379,0.421,2375.500
8941.806,0.402,2489.079
8942.213,0.478,2094.061
8942.696,0.407,2457.739
8943.109,0.461,2169.023
8943.575,0.423,2362.569
8944.004,0.451,2219.189
8944.460,0.403,2479.101
8944.868,0.444,2253.095
8945.317,0.436,2293.099
8945.760,0.415,2410.859
8946.180,0.521,1920.975
8946.712,0.476,2099.958
8947.194,0.475,2107.086
8947.674,0.538,1857.907
8948.220,4.058,246.430
8952.308,0.715,1399.492
